PARLAMENTARIO_ID,PARTIDO_POLITICO,NOMBRE_COMPLETO
4599,Federación Regionalista Verde Social,Esteban Velasquez Nunez
4628,Partido Humanista,Pamela Jiles Moreno
5207,,Hernan Palma Perez
5195,,Fabiola Campillai Rojas
5233,Partido Unión Demócrata Independiente,Henry Leal Bizama
5275,Partido Por la Democracia,Helia Molina Milman
4603,,Harry Jurgensen Rundshagen
5260,,Felipe Camano Cardenas
5257,Partido Unión Demócrata Independiente,Felipe Donoso Castro
4030,Partido Evolución Política (Evópoli),Felipe Kast Sommerhoff
4623,Partido Unión Demócrata Independiente,Gustavo Sanhueza Duenas
5213,Unión Demócrata Independiente,Fernando Borquez Montecinos
5270,Partido Unión Demócrata Independiente,Gustavo Benavente Vergara
4570,Partido Unión Demócrata Independiente,Guillermo Ramirez Diez
1438,Partido Socialista de Chile,Fidel Espinoza Sandoval
4578,,Marisela Santibanez Novoa
4567,Partido Renovación Nacional,Jorge Duran Espinoza
1482,Partido Unión Demócrata Independiente,Gaston Von Muhlenbrock Zamora
4546,Partido Renovación Nacional,Andres Celis Montt
5211,Partido Acción Humanista,Ana Maria Gazmuri Vieira
5222,,Tomas De Rementeria Venegas
2861,Partido Unión Demócrata Independiente,Sergio Bobadilla Munoz
5199,Partido Demócratas Chile,Victor Pino Fuentes
5259,Partido Republicano de Chile,Benjamin Moreno Bascur
5227,Partido Republicano de Chile,Juan Irarrazaval Rossel
4523,Partido Socialista de Chile,Leonardo Soto Ferrada
4619,Partido Por la Democracia,Jorge Soria Quiroga
4608,,Leonidas Romero Saez
5223,Partido Socialista de Chile,Ana Bravo Castro
4528,,Bernardo Berger Fett
4606,Partido Frente Amplio,Juan Ignacio Latorre Riveros
5236,,Jorge Saffirio Espinoza
5191,,Sebastian Videla Castillo
2717,,Alejandra Sepulveda Orbenes
4560,Partido Comunista de Chile,Boris Barrera Moreno
5267,Partido Comunista de Chile,Alejandra Placencia Cabello
5197,,Alejandro Kusanovic Glusevic 
3399,Partido Social Cristiano,Juan Luis Castro Gonzalez
3399,Partido Social Cristiano,Juan Luis Castro Gonzalez
4594,Partido Renovación Nacional,Camila Flores Oporto
4141,Partido Socialista de Chile,Jose Miguel Insulza Salinas
4531,Partido Liberal de Chile,Vlado Mirosevic Verdugo
1925,Partido Socialista de Chile,Alfonso De Urresti Longton
279,Partido Renovación Nacional,Jose Gilberto Garcia Ruminot
4579,Partido Renovación Nacional,Sofia Cid Versalovic
4624,Partido Socialista de Chile,Juan Santana Castillo
5229,,Stephan Schubert Rubio
5248,,Viviana Delgado Riquelme
4545,Partido Radical Socialdemócrata,Alexis Sepulveda Soto
4581,Partido Renovación Nacional,Jose Miguel Castro Bascunan
5272,Partido Republicano de Chile,Jose Carlos Meza Pereira
5242,,Karen Medina Vasquez
4605,,Karim Bianchi Retamales
4634,Partido Unión Demócrata Independiente,Jose Miguel Durana Semir
4520,Partido Comunista de Chile,Karol Cariola Oliva
4620,,Kenneth Pugh Olavarria
4504,Unión Demócrata Independiente,Sergio Gahona Salazar
4577,,Sebastian Keitel Bianchi
4552,Partido Liberal de Chile,Alejandro Bernales Maldonado
5238,,Camila Musante Muller
5245,Partido Demócrata Cristiano,Alberto Undurraga Vicuna
5230,Partido Comunista de Chile,Luis Alberto Cuello Pena Y Lillo
4559,Partido Renovación Nacional,Andres Longton Herrera
1274,,Carlos Bianchi Chelech
5231,Movimiento Amarillos por Chile,Andres Jouannet Valderrama
4569,Partido Evolución Política (Evópoli),Luciano Cruz-Coke Carvallo
4596,Partido Frente Amplio,Camila Rojas Valderrama
4632,Partido Acción Humanista,Tomas Hirsch Goldschmidt
4618,Partido Renovación Nacional,Ximena Ossandon Irarrazabal
5188,,Yovana Ahumada Palma
4539,Partido por la Democracia,Loreto Carvajal Ambiado
5273,Partido Frente Amplio,Andres Giordano Salazar
4592,,Ximena Ordenes Neira
2362,,Ximena Cecilia Rincon Gonzalez
1778,Partido Unión Demócrata Independiente,Juan Antonio Coloma Correa
4543,Partido Unión Demócrata Independiente,Juan Antonio Coloma Alamos
5221,Partido Comunista de Chile,Lorena Pizarro Sierra
5255,Partido Evolución Política (Evópoli),Jorge Guzman Zepeda
4588,Partido Social Cristiano,Juan Enrique Castro Prieto
5258,Partido Social Cristiano,Sara Concha Smith
4506,Partido Renovación Nacional,Jorge Rathgeb Schifferli
4568,Partido Unión Demócrata Independiente,Juan Fuenzalida Cobo
5224,,Tomas Lagomarsino Guzman
5264,Partido Frente Amplio,Lorena Fries Monleon
4323,Partido Demócrata Cristiano,Yasna Provoste Campillay
5250,Partido Republicano de Chile,Agustin Matias Romero Leiva
5249,Partido Renovación Nacional,Carla Morales Maldonado 
5237,Partido Renovación Nacional,Juan Beltran Silva
4558,,Alvaro Carter Fernandez
2822,,Mario Francisco Duenas Avaria
